stem,method,n_queries,metric,value
1804_03_21_1804032150,arm1_naive,252,R@10,0.4713
1804_03_21_1804032150,arm2_metadata_node_raw,252,R@10,0.4735
1804_03_21_1804032150,arm2_metadata_node_enriched,252,R@10,0.4735
1804_03_21_1804032150,arm2_metadata_node_summary,252,R@10,0.5137
1804_03_21_1804032150,arm2_metadata_node_full,252,R@10,0.4735
1804_03_21_1804032150,arm2_metadata_article_raw,252,R@10,0.4766
1804_03_21_1804032150,arm2_metadata_article_full,252,R@10,0.4766
1867_06_08_1867060850,arm1_naive,65,R@10,0.2985
1867_06_08_1867060850,arm2_metadata_node_raw,65,R@10,0.2451
1867_06_08_1867060850,arm2_metadata_node_enriched,65,R@10,0.2451
1867_06_08_1867060850,arm2_metadata_node_summary,65,R@10,0.2395
1867_06_08_1867060850,arm2_metadata_node_full,65,R@10,0.2451
1867_06_08_1867060850,arm2_metadata_article_raw,65,R@10,0.2474
1867_06_08_1867060850,arm2_metadata_article_full,65,R@10,0.2474
1967_10_10_1967101055,arm1_naive,204,R@10,0.3425
1967_10_10_1967101055,arm2_metadata_node_raw,204,R@10,0.2935
1967_10_10_1967101055,arm2_metadata_node_enriched,204,R@10,0.2935
1967_10_10_1967101055,arm2_metadata_node_summary,204,R@10,0.3461
1967_10_10_1967101055,arm2_metadata_node_full,204,R@10,0.2935
1967_10_10_1967101055,arm2_metadata_article_raw,204,R@10,0.3091
1967_10_10_1967101055,arm2_metadata_article_full,204,R@10,0.3091
1967_10_10_1967101056,arm1_naive,71,R@10,0.391
1967_10_10_1967101056,arm2_metadata_node_raw,71,R@10,0.4678
1967_10_10_1967101056,arm2_metadata_node_enriched,71,R@10,0.4678
1967_10_10_1967101056,arm2_metadata_node_summary,71,R@10,0.3827
1967_10_10_1967101056,arm2_metadata_node_full,71,R@10,0.4678
1967_10_10_1967101056,arm2_metadata_article_raw,71,R@10,0.3964
1967_10_10_1967101056,arm2_metadata_article_full,71,R@10,0.3964
2003_07_17_2013A31614,arm1_naive,133,R@10,0.8006
2003_07_17_2013A31614,arm2_metadata_node_raw,133,R@10,0.7635
2003_07_17_2013A31614,arm2_metadata_node_enriched,133,R@10,0.7635
2003_07_17_2013A31614,arm2_metadata_node_summary,133,R@10,0.8045
