method,metric,1967_10_10_1967101056,1867_06_08_1867060850,1804_03_21_1804032150,2003_07_17_2013A31614,1967_10_10_1967101055,mean,median
arm1_naive,R@10,0.391,0.2985,0.4713,0.8006,0.3425,0.46078,0.42589
arm2_metadata_node_raw,R@10,0.4678,0.2451,0.4735,0.7635,0.2935,0.44867999999999997,0.45824
arm2_metadata_node_enriched,R@10,0.4678,0.2451,0.4735,0.7635,0.2935,0.44867999999999997,0.45824
arm2_metadata_node_summary,R@10,0.3827,0.2395,0.5137,0.8045,0.3461,0.45729999999999993,0.41999999999999993
arm2_metadata_node_full,R@10,0.4678,0.2451,0.4735,0.7635,0.2935,0.44867999999999997,0.45824
arm2_metadata_article_raw,R@10,0.3964,0.2474,0.4766,0.7445,0.3091,0.43479999999999996,0.41559999999999997
arm2_metadata_article_full,R@10,0.3964,0.2474,0.4766,0.7445,0.3091,0.43479999999999996,0.41559999999999997
arm1_naive,R@100,0.9147,0.6399,0.9282,0.9499,0.7238,0.8313,0.873
arm2_metadata_node_raw,R@100,0.8608,0.5387,0.852,0.8901,0.5947,0.74726,0.7996300000000001
arm2_metadata_node_enriched,R@100,0.8608,0.5387,0.852,0.8901,0.5947,0.74726,0.7996300000000001
arm2_metadata_node_summary,R@100,0.8496,0.7059,0.8771,0.9371,0.6539,0.80472,0.82716
arm2_metadata_node_full,R@100,0.8608,0.5387,0.852,0.8901,0.5947,0.74726,0.7996300000000001
arm2_metadata_article_raw,R@100,0.9025,0.6983,0.893,0.9279,0.6341,0.8111600000000001,0.8520800000000001
arm2_metadata_article_full,R@100,0.9025,0.6983,0.893,0.9279,0.6341,0.8111600000000001,0.8520800000000001
arm1_naive,MRR@10,0.2369,0.2836,0.3509,0.4605,0.3294,0.33226000000000006,0.33083000000000007
arm2_metadata_node_raw,MRR@10,0.3371,0.3378,0.4397,0.6078,0.3922,0.42291999999999996,0.40756
arm2_metadata_node_enriched,MRR@10,0.3371,0.3378,0.4397,0.6078,0.3922,0.42291999999999996,0.40756
arm2_metadata_node_summary,MRR@10,0.309,0.3362,0.4698,0.6262,0.4317,0.4345800000000001,0.43314
arm2_metadata_node_full,MRR@10,0.3371,0.3378,0.4397,0.6078,0.3922,0.42291999999999996,0.40756
arm2_metadata_article_raw,MRR@10,0.3122,0.3053,0.448,0.5628,0.4051,0.40668,0.40589
arm2_metadata_article_full,MRR@10,0.3122,0.3053,0.448,0.5628,0.4051,0.40668,0.40589
arm1_naive,nDCG@10,0.3054,0.3169,0.4182,0.5666,0.3937,0.40016000000000007,0.39693
arm2_metadata_node_raw,nDCG@10,0.398,0.3626,0.4918,0.6643,0.4309,0.46952,0.45021
arm2_metadata_node_enriched,nDCG@10,0.398,0.3626,0.4918,0.6643,0.4309,0.46952,0.45021
arm2_metadata_node_summary,nDCG@10,0.3633,0.3443,0.5135,0.6879,0.478,0.47739999999999994,0.47769999999999996
arm2_metadata_node_full,nDCG@10,0.398,0.3626,0.4918,0.6643,0.4309,0.46952,0.45021
arm2_metadata_article_raw,nDCG@10,0.3709,0.3344,0.4999,0.6348,0.4417,0.45633999999999997,0.44902
arm2_metadata_article_full,nDCG@10,0.3709,0.3344,0.4999,0.6348,0.4417,0.45633999999999997,0.44902
arm1_naive,Cw/R@10,,,0.4694,,,0.4694,0.4694
arm2_metadata_node_raw,Cw/R@10,,,0.4726,,,0.4726,0.4726
arm2_metadata_node_enriched,Cw/R@10,,,0.4726,,,0.4726,0.4726
arm2_metadata_node_summary,Cw/R@10,,,0.5149,,,0.5149,0.5149
arm2_metadata_node_full,Cw/R@10,,,0.4726,,,0.4726,0.4726
arm2_metadata_article_raw,Cw/R@10,,,0.4742,,,0.4742,0.4742
arm2_metadata_article_full,Cw/R@10,,,0.4742,,,0.4742,0.4742
arm1_naive,Cw/R@100,,,0.9287,,,0.9287,0.9287
arm2_metadata_node_raw,Cw/R@100,,,0.8504,,,0.8504,0.8504
arm2_metadata_node_enriched,Cw/R@100,,,0.8504,,,0.8504,0.8504
arm2_metadata_node_summary,Cw/R@100,,,0.8721,,,0.8721,0.8721
arm2_metadata_node_full,Cw/R@100,,,0.8504,,,0.8504,0.8504
arm2_metadata_article_raw,Cw/R@100,,,0.8976,,,0.8976,0.8976
arm2_metadata_article_full,Cw/R@100,,,0.8976,,,0.8976,0.8976
