doc_id,qset,n_q_in_qset,n_q_link,n_q_evaluable,T1/R@10,T1/R@100,T1/MRR@10,T1/NDCG@10,E/R@10,E/R@100,E/MRR@10,E/NDCG@10,recall_ceiling_mean_all_qset,recall_ceiling_mean_linked,recall_ceiling_mean_evaluable
1804_03_21_1804032150,train,886,222,221,0.473482,0.816213,0.439261,0.512283,0.569925,0.97427,0.441248,0.514601,0.209755,0.83713,0.840918
1867_06_08_1867060850,train,886,78,64,0.30818,0.604666,0.339708,0.364218,0.42965,0.869457,0.414019,0.443891,0.058731,0.66712,0.813052
1967_10_10_1967101055,train,886,175,174,0.300237,0.545042,0.408116,0.456805,0.407153,0.740587,0.410461,0.459431,0.144712,0.732655,0.736866
1967_10_10_1967101056,train,886,73,73,0.446557,0.779576,0.36689,0.447843,0.519693,0.901113,0.36689,0.447843,0.071249,0.864742,0.864742
2003_07_17_2013A31614,train,886,102,100,0.662838,0.838854,0.437072,0.525802,0.7645,0.99,0.445813,0.536318,0.097513,0.847024,0.863964
ALL_5_PDFS,train,4430,650,632,0.438259,0.71687,0.398209,0.46139,0.538184,0.895085,0.415686,0.480417,0.116392,0.789734,0.823908
1804_03_21_1804032150,test,222,43,43,0.45126,0.764826,0.382032,0.464141,0.560541,0.924885,0.382032,0.464141,0.158012,0.815781,0.815781
1867_06_08_1867060850,test,222,28,25,0.389633,0.587018,0.344345,0.402328,0.557333,0.810667,0.385667,0.450608,0.092981,0.737209,0.825675
1967_10_10_1967101055,test,222,44,44,0.340899,0.588091,0.407729,0.463197,0.410042,0.766001,0.407729,0.463197,0.154007,0.777035,0.777035
1967_10_10_1967101056,test,222,14,14,0.27381,0.828571,0.208333,0.263753,0.392857,0.97619,0.208333,0.263753,0.053754,0.852381,0.852381
2003_07_17_2013A31614,test,222,34,34,0.692437,0.888655,0.494444,0.560525,0.752941,1.0,0.494444,0.560525,0.1361,0.888655,0.888655
ALL_5_PDFS,test,1110,163,160,0.429608,0.731432,0.367377,0.430789,0.534743,0.895549,0.375641,0.440445,0.118971,0.814212,0.831905
